gi|751	40257	40486	R=0	-	40392	79	135
gi|751	38822	39051	R=0	-	38957	79	135
gi|751	35395	35531	R=0	-	35438	78	43
gi|751	34545	34773	R=0	-	34680	78	135
gi|751	27016	27151	R=0	-	27058	78	42
gi|751	26031	26237	R=0	+	26107	76	115
gi|751	21216	21442	R=0	-	21353	74	137
gi|751	16698	16927	R=0	-	16833	79	135
gi|751	14902	15039	R=0	-	14945	79	43
gi|751	13997	14223	R=0	-	14134	74	137
gi|751	11187	11309	R=0	-	11221	73	34
gi|751	10299	10435	R=0	-	10342	78	43
gi|751	9202	9406	R=0	-	9317	74	115
gi|751	8124	8297	R=0	+	8200	76	82
gi|751	7151	7377	R=0	+	7228	77	134
gi|751	6026	6162	R=0	+	6104	78	43
gi|751	3191	3403	R=0	+	3269	78	119
gi|751	850	1081	R=0	-	987	79	137
gi|751	126	251	R=0	-	160	76	34
gi|720	35300	35527	R=0	-	35436	76	136
gi|720	32819	32944	R=0	+	32895	76	34
gi|720	32113	32238	R=0	+	32189	76	34
gi|720	31283	31514	R=0	+	31362	79	137
gi|720	28961	29173	R=0	-	29080	78	119
gi|720	26203	26339	R=0	-	26246	78	43
gi|720	24988	25214	R=0	-	25122	77	134
gi|720	24068	24241	R=0	-	24150	76	82
gi|720	22958	23162	R=0	+	23032	74	115
gi|720	21929	22065	R=0	+	22007	78	43
gi|720	20822	20959	R=0	+	20901	79	43
gi|720	18143	18369	R=0	+	18217	74	137
gi|720	17327	17464	R=0	+	17406	79	43
gi|720	15438	15668	R=0	+	15518	80	135
gi|720	10925	11149	R=0	+	10997	72	137
gi|720	6133	6339	R=0	-	6248	76	115
gi|720	5218	5354	R=0	+	5296	78	43
gi|700	20544	20680	R=0	-	20587	78	43
gi|700	19692	19921	R=0	-	19827	79	135
gi|700	12169	12305	R=0	-	12212	78	43
gi|700	11184	11390	R=0	+	11260	76	115
gi|700	6374	6601	R=0	-	6511	75	137
gi|700	1857	2086	R=0	-	1992	79	135
gi|700	62	199	R=0	-	106	78	44
gi|663	32911	33138	R=0	-	33047	76	136
gi|663	30499	30728	R=0	-	30633	80	134
gi|663	28361	28487	R=0	+	28438	77	34
gi|663	27835	28065	R=0	+	27915	80	135
gi|663	27449	27620	R=0	-	27531	74	82
gi|663	26310	26537	R=0	+	26388	78	134
gi|663	21304	21533	R=0	+	21383	79	135
gi|663	19690	19919	R=0	+	19769	79	135
gi|663	18650	18786	R=0	-	18693	78	43
gi|663	15143	15280	R=0	+	15222	79	43
gi|663	9369	9506	R=0	+	9448	79	43
gi|663	8058	8229	R=0	-	8140	74	82
gi|663	5314	5480	R=0	+	5388	74	77
gi|663	2709	2846	R=0	+	2788	79	43
gi|663	474	703	R=0	+	553	79	135
gi|656	27362	27488	R=0	+	27439	77	34
gi|656	26836	27066	R=0	+	26916	80	135
gi|656	26450	26621	R=0	-	26532	74	82
gi|656	25311	25538	R=0	+	25389	78	134
gi|656	20305	20534	R=0	+	20384	79	135
gi|656	18689	18918	R=0	+	18768	79	135
gi|656	17649	17785	R=0	-	17692	78	43
gi|656	14147	14284	R=0	+	14226	79	43
gi|656	8352	8489	R=0	+	8431	79	43
gi|656	7046	7217	R=0	-	7128	74	82
gi|656	4295	4464	R=0	+	4369	74	80
gi|656	1693	1829	R=0	+	1771	78	43
gi|653	37617	37753	R=0	-	37660	78	43
gi|653	36632	36838	R=0	+	36708	76	115
gi|653	31820	32046	R=0	-	31957	74	137
gi|653	27303	27532	R=0	-	27438	79	135
gi|653	25507	25644	R=0	-	25550	79	43
gi|653	24602	24828	R=0	-	24739	74	137
gi|653	21794	21916	R=0	-	21828	73	34
gi|653	20906	21042	R=0	-	20949	78	43
gi|653	19809	20013	R=0	-	19924	74	115
gi|653	18731	18904	R=0	+	18807	76	82
gi|653	17758	17984	R=0	+	17835	77	134
gi|653	16635	16771	R=0	+	16713	78	43
gi|653	13801	14013	R=0	+	13879	78	119
gi|653	11460	11691	R=0	-	11597	79	137
gi|653	10736	10861	R=0	-	10770	76	34
gi|653	10030	10155	R=0	-	10064	76	34
gi|653	7447	7675	R=0	+	7524	77	136
gi|653	1226	1456	R=0	-	1361	80	135
gi|653	593	730	R=0	-	636	79	43
gi|647	33112	33342	R=0	-	33248	79	136
gi|647	30752	30874	R=0	-	30786	73	34
gi|647	28334	28500	R=0	-	28411	74	77
gi|647	25616	25787	R=0	+	25690	74	82
gi|647	24346	24483	R=0	-	24389	79	43
gi|647	18552	18689	R=0	-	18595	79	43
gi|647	15057	15193	R=0	+	15135	78	43
gi|647	13924	14153	R=0	-	14059	79	135
gi|647	12312	12541	R=0	-	12447	79	135
gi|647	7309	7536	R=0	-	7443	78	134
gi|647	6226	6397	R=0	+	6300	74	82
gi|647	5781	6011	R=0	-	5916	80	135
gi|647	5359	5485	R=0	-	5393	77	34
gi|647	3117	3347	R=0	+	3197	80	135
gi|647	704	931	R=0	+	780	76	136
gi|641	35704	35898	R=0	-	35821	62	117
gi|641	31980	32183	R=0	-	32094	74	114
gi|641	29892	30121	R=0	+	29971	79	135
gi|641	28984	29120	R=0	+	29062	78	43
gi|641	27796	27931	R=0	+	27874	78	42
gi|641	27071	27300	R=0	+	27150	79	135
gi|641	20852	21079	R=0	-	20988	76	136
gi|641	18371	18496	R=0	+	18447	76	34
gi|641	17665	17790	R=0	+	17741	76	34
